id,type,name,name_en,area,phone,fax,hours_weekly_range,hours,address,city,lat,lng,distance
750,3,Centro de Banca Internacional,Centro de Banca Internacional,PR,787-723-7210,787-723-7244,FALSE,LMMJVSD,"""Ave. Ponce de Leon 1500, Parada 22, Piso 2, San Juan, PR""",San Juan,18.445945,-66.068358,53.23833085
751,2,Sucursal San Juan,San Juan Branch,PR,787-725-2636,787-723-3910,FALSE,LMMJVSD,"""Calle Tetuan 206, San Juan, PR""",San Juan,18.464325,-66.115256,56.51898363
752,2,Sucursal Carolina Highway,Carolina Highway Branch,PR,787-750-2440,787-257-1677,FALSE,LMMJVSD,"""Ave. 65 de Infanteria Esq. Calle Ignacio Arzuaga Km. 10.3, Carolina, PR""",Carolina,18.38078,-65.962161,45.77659438
753,2,Sucursal Cupey Center (Evertec),Cupey Center (Evertec) Branch,PR,787-766-0777,787-764-7846,FALSE,LMMJVSD,"""Carr. 176 Km. 1.2, San Juan, PR""",San Juan,18.380254,-66.05493,52.19662443
754,2,Sucursal Calle Loiza,Calle Loiza Branch,PR,787-728-3400,787-728-3408,FALSE,LMMJVSD,"""Cale Loiza 1812, San Juan, PR""",San Juan,18.451288,-66.058589,52.57575005
755,2,Sucursal Condado,Condado Branch,PR,787-725-4197,787-722-0897,FALSE,LMMJVSD,"""Ave. Ashford 1060, San Juan, PR""",San Juan,18.457221,-66.07498,53.72140173
756,2,Sucursal Plaza Las Americas,Plaza Las Americas Branch,PR,787-753-4590,787-753-4455,FALSE,LMMJVSD,"""525 Ave. Roosevelt, Plaza Las Americas, Primer Nivel, San Juan, PR""",San Juan,18.423133,-66.074902,53.64434285
758,2,Sucursal Parada 22,Parada 22 Branch,PR,787-725-5129,787-725-4041,FALSE,LMMJVSD,"""Ave. Ponce de Leon 1500, Pda. 22, San Juan, PR""",San Juan,18.445963,-66.068384,53.24016655
759,2,Sucursal Barrio Obrero,Barrio Obrero Branch,PR,787-726-1045,787-726-1613,FALSE,LMMJVSD,"""Ave. Borinquen 2250, Bo. Obrero, Santurce, San Juan, PR""",San Juan,18.435032,-66.048112,51.81612748
760,2,Sucursal Miramar,Miramar Branch,PR,787-723-8078,787-724-6730,FALSE,LMMJVSD,"""Edif. Centro de Seguros, Ave. Ponce de Leon 701, San Juan, PR""",San Juan,18.456071,-66.083322,54.29471462
761,2,Sucursal Buchanan,Buchanan Branch,PR,787-783-8048,787-281-4268,FALSE,LMMJVSD,"""Edif. 501 South Health Clinic, Fort Buchanan, San Juan, PR""",San Juan,18.413093,-66.12051,56.78127819
762,2,Sucursal Parada 26,Parada 26 Branch,PR,787-727-8010,787-727-8215,FALSE,LMMJVSD,"""Ave. Ponce de Leon 1900, Pda. 26, San Juan, PR""",San Juan,18.438235,-66.059943,52.64032405
763,2,Sucursal Puerto Nuevo,Puerto Nuevo Branch,PR,787-783-9280,787-993-6446,FALSE,LMMJVSD,"""301 Ave. De Diego, Esq. Ave. Roosevelt, San Juan, PR""",San Juan,18.413272,-66.089112,54.6097137
764,2,Sucursal Popular Center,Popular Center Branch,PR,787-754-4002,787-756-3976,FALSE,LMMJVSD,"""Ave. Ponce De Leon 208, Ave. Muñoz Rivera 209, San Juan, PR""",San Juan,18.427128,-66.058535,52.52045634
765,2,Sucursal Plaza Del Mercado Río Piedras,Plaza Del Mercado Río Piedras Branch,PR,787-765-9050,787-758-1812,FALSE,LMMJVSD,"""Calle de Diego 155, San Juan, PR""",San Juan,18.398439,-66.049453,51.84258303
766,2,Sucursal Universidad de PR (Rio Piedras),Universidad de PR (Rio Piedras) Branch,PR,787-751-0238,787-751-7840,FALSE,LMMJVSD,"""Recinto de Rio Piedras, Edif. Janer, Ave. Ponce de Leon, San Juan, PR""",San Juan,18.403214,-66.049988,51.88704017
767,2,Sucursal Parada 34 - Hato Rey,Parada 34 - Hato Rey Branch,PR,787-753-0195,787-993-6444,FALSE,LMMJVSD,"""Ave. Ponce de Leon 526, Esq. Calle Guayama, San Juan, PR""",San Juan,18.415763,-66.055698,52.30314065
768,2,Sucursal San Jose,San Jose Branch,PR,787-767-0909,787-765-0084,FALSE,LMMJVSD,"""Calle Alda 1565, Urb. El Caribe, San Juan, PR""",San Juan,18.383402,-66.06729,53.05609936
770,2,Sucursal Barbosa,Barbosa Branch,PR,787-766-2020,787-751-0096,FALSE,LMMJVSD,"""Ave. Barbosa 618, Esq. Calle Mayaguez, San Juan, PR""",San Juan,18.411714,-66.043644,51.46244675
771,2,Sucursal Parque Escorial,Parque Escorial Branch,PR,787-757-0300,787-276-1725,FALSE,LMMJVSD,"""Centro Comercial Parque Escorial, 65 de Infanteria Km. 5, Carolina, PR""",Carolina,18.394474,-66.000264,48.43338291
772,2,Sucursal Las Catalinas,Las Catalinas Branch,PR,787-286-0011,787-993-6442,FALSE,LMMJVSD,"""Las Catalinas Mall, Bo. Bairoa Carr. 156 Km. 0.2, Caguas, PR""",Caguas,18.241304,-66.038765,51.05759095
773,2,Sucursal San Lorenzo,San Lorenzo Branch,PR,787-736-8454,787-736-4000,FALSE,LMMJVSD,"""Carrretera 183 KM 10.3 Bo. Hato, San Lorenzo, San Lorenzo, PR""",San Lorenzo,18.1788469,-65.9701639,46.40857305
774,2,Sucursal Cidra,Cidra Branch,PR,787-739-8431,787-739-3517,FALSE,LMMJVSD,"""60 Calle Barcelo, Esq. Jaime Bonet, Cidra, PR""",Cidra,18.176493,-66.159351,59.4908217
775,2,Sucursal Gurabo,Gurabo Branch,PR,787-737-2391,787-737-8266,FALSE,LMMJVSD,"""Calle Andres Aruz Rivera 250-E, Gurabo, PR""",Gurabo,18.254018,-65.968563,46.1844449
